Rt_GeneID_curateA,Rt_GeneID_curateB,assays
ENSRNOG00000000800,ENSRNOG00000029450,1
ENSRNOG00000000804,ENSRNOG00000004760,1
ENSRNOG00000000805,ENSRNOG00000008668,1
ENSRNOG00000000805,ENSRNOG00000012957,1
ENSRNOG00000000805,ENSRNOG00000016534,1
ENSRNOG00000000805,ENSRNOG00000020157,1
ENSRNOG00000000808,ENSRNOG00000004760,1
ENSRNOG00000000818,ENSRNOG00000011316,1
ENSRNOG00000000824,ENSRNOG00000014452,1
ENSRNOG00000000824,ENSRNOG00000018487,1
ENSRNOG00000000824,ENSRNOG00000019579,1
ENSRNOG00000000824,ENSRNOG00000024737,1
ENSRNOG00000000824,ENSRNOG00000042411,1
ENSRNOG00000000826,ENSRNOG00000004760,1
ENSRNOG00000000826,ENSRNOG00000020651,1
ENSRNOG00000000847,ENSRNOG00000004760,1
ENSRNOG00000000851,ENSRNOG00000004132,1
ENSRNOG00000000851,ENSRNOG00000004760,1
ENSRNOG00000000851,ENSRNOG00000004768,1
ENSRNOG00000000851,ENSRNOG00000006741,1
ENSRNOG00000000851,ENSRNOG00000015514,1
ENSRNOG00000000851,ENSRNOG00000028834,1
ENSRNOG00000000851,ENSRNOG00000038825,1
ENSRNOG00000000851,ENSRNOG00000052620,1
ENSRNOG00000000852,ENSRNOG00000004760,1
ENSRNOG00000000852,ENSRNOG00000008098,1
ENSRNOG00000000852,ENSRNOG00000014187,1
ENSRNOG00000000852,ENSRNOG00000014191,1
ENSRNOG00000000852,ENSRNOG00000018561,1
ENSRNOG00000000852,ENSRNOG00000023664,1
ENSRNOG00000000852,ENSRNOG00000025233,1
ENSRNOG00000000852,ENSRNOG00000045918,1
ENSRNOG00000000852,ENSRNOG00000054474,1
ENSRNOG00000000867,ENSRNOG00000002746,1
ENSRNOG00000000867,ENSRNOG00000009656,1
ENSRNOG00000000867,ENSRNOG00000016705,1
ENSRNOG00000000867,ENSRNOG00000053200,1
ENSRNOG00000000867,ENSRNOG00000055340,1
ENSRNOG00000000869,ENSRNOG00000001069,1
ENSRNOG00000000885,ENSRNOG00000000017,1
ENSRNOG00000000885,ENSRNOG00000001205,1
ENSRNOG00000000885,ENSRNOG00000011573,1
ENSRNOG00000000885,ENSRNOG00000017852,1
ENSRNOG00000000885,ENSRNOG00000021548,1
ENSRNOG00000000885,ENSRNOG00000039858,1
ENSRNOG00000000885,ENSRNOG00000045595,1
ENSRNOG00000000885,ENSRNOG00000056174,1
ENSRNOG00000000893,ENSRNOG00000003759,1
ENSRNOG00000000894,ENSRNOG00000004760,1
ENSRNOG00000000894,ENSRNOG00000025388,1
ENSRNOG00000000894,ENSRNOG00000027455,1
ENSRNOG00000000894,ENSRNOG00000051563,1
ENSRNOG00000000894,ENSRNOG00000064976,1
ENSRNOG00000000895,ENSRNOG00000016478,1
ENSRNOG00000000900,ENSRNOG00000003517,1
ENSRNOG00000000900,ENSRNOG00000004276,1
ENSRNOG00000000900,ENSRNOG00000004556,1
ENSRNOG00000000900,ENSRNOG00000008941,1
ENSRNOG00000000900,ENSRNOG00000010085,1
ENSRNOG00000000900,ENSRNOG00000010890,1
ENSRNOG00000000900,ENSRNOG00000011158,1
ENSRNOG00000000900,ENSRNOG00000013659,1
ENSRNOG00000000900,ENSRNOG00000015439,1
ENSRNOG00000000900,ENSRNOG00000017352,1
ENSRNOG00000000900,ENSRNOG00000021871,1
ENSRNOG00000000900,ENSRNOG00000024461,1
ENSRNOG00000000900,ENSRNOG00000025053,1
ENSRNOG00000000900,ENSRNOG00000048967,1
ENSRNOG00000000900,ENSRNOG00000059984,1
ENSRNOG00000000900,ENSRNOG00000068184,1
ENSRNOG00000000901,ENSRNOG00000002886,1
ENSRNOG00000000901,ENSRNOG00000004760,1
ENSRNOG00000000901,ENSRNOG00000008908,1
ENSRNOG00000000901,ENSRNOG00000011316,1
ENSRNOG00000000909,ENSRNOG00000004205,1
ENSRNOG00000000913,ENSRNOG00000014969,1
ENSRNOG00000000920,ENSRNOG00000004760,1
ENSRNOG00000000924,ENSRNOG00000000461,1
ENSRNOG00000000924,ENSRNOG00000001217,1
ENSRNOG00000000924,ENSRNOG00000001781,1
ENSRNOG00000000924,ENSRNOG00000003443,1
ENSRNOG00000000924,ENSRNOG00000004392,1
ENSRNOG00000000924,ENSRNOG00000004563,1
ENSRNOG00000000924,ENSRNOG00000004760,1
ENSRNOG00000000924,ENSRNOG00000005615,1
ENSRNOG00000000924,ENSRNOG00000012698,1
