Rt_GeneID_curateA,Rt_GeneID_curateB,assays
ENSRNOG00000000277,ENSRNOG00000052513,1
ENSRNOG00000000277,ENSRNOG00000061121,1
ENSRNOG00000000277,ENSRNOG00000061499,1
ENSRNOG00000000277,ENSRNOG00000070996,1
ENSRNOG00000000279,ENSRNOG00000013780,1
ENSRNOG00000000281,ENSRNOG00000001572,1
ENSRNOG00000000281,ENSRNOG00000005413,1
ENSRNOG00000000281,ENSRNOG00000010729,1
ENSRNOG00000000281,ENSRNOG00000038002,1
ENSRNOG00000000281,ENSRNOG00000068984,1
ENSRNOG00000000282,ENSRNOG00000002175,1
ENSRNOG00000000283,ENSRNOG00000004760,1
ENSRNOG00000000283,ENSRNOG00000016698,1
ENSRNOG00000000283,ENSRNOG00000022777,1
ENSRNOG00000000283,ENSRNOG00000052204,1
ENSRNOG00000000288,ENSRNOG00000006741,1
ENSRNOG00000000288,ENSRNOG00000015173,1
ENSRNOG00000000288,ENSRNOG00000022372,1
ENSRNOG00000000288,ENSRNOG00000028274,1
ENSRNOG00000000288,ENSRNOG00000042118,1
ENSRNOG00000000288,ENSRNOG00000043332,1
ENSRNOG00000000288,ENSRNOG00000048924,1
ENSRNOG00000000288,ENSRNOG00000049076,1
ENSRNOG00000000288,ENSRNOG00000055401,1
ENSRNOG00000000288,ENSRNOG00000060061,1
ENSRNOG00000000302,ENSRNOG00000004036,1
ENSRNOG00000000302,ENSRNOG00000005540,1
ENSRNOG00000000302,ENSRNOG00000008530,1
ENSRNOG00000000302,ENSRNOG00000008912,2
ENSRNOG00000000302,ENSRNOG00000009575,1
ENSRNOG00000000302,ENSRNOG00000010365,1
ENSRNOG00000000302,ENSRNOG00000010584,1
ENSRNOG00000000302,ENSRNOG00000016976,1
ENSRNOG00000000302,ENSRNOG00000019024,1
ENSRNOG00000000302,ENSRNOG00000019556,2
ENSRNOG00000000302,ENSRNOG00000027161,1
ENSRNOG00000000302,ENSRNOG00000029047,1
ENSRNOG00000000302,ENSRNOG00000029141,1
ENSRNOG00000000302,ENSRNOG00000047088,1
ENSRNOG00000000302,ENSRNOG00000054400,1
ENSRNOG00000000303,ENSRNOG00000001148,1
ENSRNOG00000000303,ENSRNOG00000009131,1
ENSRNOG00000000303,ENSRNOG00000020851,1
ENSRNOG00000000304,ENSRNOG00000004910,1
ENSRNOG00000000304,ENSRNOG00000008639,1
ENSRNOG00000000304,ENSRNOG00000020175,1
ENSRNOG00000000304,ENSRNOG00000027906,1
ENSRNOG00000000304,ENSRNOG00000047427,1
ENSRNOG00000000304,ENSRNOG00000070171,1
ENSRNOG00000000306,ENSRNOG00000011283,1
ENSRNOG00000000306,ENSRNOG00000016417,1
ENSRNOG00000000307,ENSRNOG00000000546,1
ENSRNOG00000000307,ENSRNOG00000000708,1
ENSRNOG00000000307,ENSRNOG00000001786,2
ENSRNOG00000000307,ENSRNOG00000001849,1
ENSRNOG00000000307,ENSRNOG00000002949,1
ENSRNOG00000000307,ENSRNOG00000004760,1
ENSRNOG00000000307,ENSRNOG00000005936,1
ENSRNOG00000000307,ENSRNOG00000008667,1
ENSRNOG00000000307,ENSRNOG00000010299,1
ENSRNOG00000000307,ENSRNOG00000013281,1
ENSRNOG00000000307,ENSRNOG00000015503,1
ENSRNOG00000000307,ENSRNOG00000015941,1
ENSRNOG00000000307,ENSRNOG00000016478,1
ENSRNOG00000000307,ENSRNOG00000016660,1
ENSRNOG00000000307,ENSRNOG00000017840,1
ENSRNOG00000000307,ENSRNOG00000020140,1
ENSRNOG00000000307,ENSRNOG00000031033,1
ENSRNOG00000000307,ENSRNOG00000031766,2
ENSRNOG00000000307,ENSRNOG00000050979,1
ENSRNOG00000000307,ENSRNOG00000055226,1
ENSRNOG00000000307,ENSRNOG00000056678,1
ENSRNOG00000000307,ENSRNOG00000057469,1
ENSRNOG00000000307,ENSRNOG00000061080,1
ENSRNOG00000000307,ENSRNOG00000061108,1
